From (pre-synaptic type),To (post-synaptic type)
CA3 LMR-Targeting,CA3c Pyramidal
CA3 LMR-Targeting,CA3 Giant
CA3 LMR-Targeting,CA3 Granule
CA3 LMR-Targeting,CA3 Axo-axonic
CA3 LMR-Targeting,CA3 Basket
CA3 LMR-Targeting,CA3 Basket CCK+
CA3 LMR-Targeting,CA3 Bistratified
CA3 LMR-Targeting,CA3 Interneuron Specific Quad
CA3 LMR-Targeting,CA3 Ivy
CA3 LMR-Targeting,CA3 LMR-Targeting
CA3 LMR-Targeting,Lucidum LAX
CA3 LMR-Targeting,Lucidum ORAX
CA3 LMR-Targeting,Lucidum-Radiatum
CA3 LMR-Targeting,Mossy Fiber-Associated
CA3 LMR-Targeting,Mossy Fiber-Associated ORDEN
CA3 LMR-Targeting,CA3 QuadD-LM
CA3 LMR-Targeting,CA3 Radiatum
CA3 LMR-Targeting,CA3 R-LM
Lucidum LAX,CA3 Pyramidal
Lucidum LAX,CA3c Pyramidal
Lucidum LAX,CA3 Axo-axonic
Lucidum LAX,CA3 Basket
Lucidum LAX,CA3 Basket CCK+
Lucidum LAX,CA3 Bistratified
Lucidum LAX,CA3 Interneuron Specific Quad
Lucidum LAX,CA3 Ivy
Lucidum LAX,CA3 LMR-Targeting
Lucidum LAX,Lucidum LAX
Lucidum LAX,Lucidum ORAX
Lucidum LAX,Lucidum-Radiatum
Lucidum LAX,Spiny Lucidum
Lucidum LAX,Mossy Fiber-Associated
Lucidum LAX,Mossy Fiber-Associated ORDEN
Lucidum LAX,CA3 QuadD-LM
Lucidum LAX,CA2 Wide-Arbor Basket
Lucidum ORAX,CA3 Pyramidal
Lucidum ORAX,CA3c Pyramidal
Lucidum ORAX,CA3 Giant
Lucidum ORAX,CA3 Granule
Lucidum ORAX,CA3 Axo-axonic
Lucidum ORAX,CA3 Horizontal Axo-axonic
Lucidum ORAX,CA3 Basket
Lucidum ORAX,CA3 Basket CCK+
