From (pre-synaptic type),To (post-synaptic type)
CA1 Oriens/Alveus,CA1 Horizontal Axo-axonic
CA1 Oriens/Alveus,CA1 Back-Projection
CA1 Oriens/Alveus,CA1 Basket
CA1 Oriens/Alveus,CA1 Basket CCK+
CA1 Oriens/Alveus,CA1 Horizontal Basket
CA1 Oriens/Alveus,CA1 Bistratified
CA1 Oriens/Alveus,CA1 Interneuron Specific LMO-O
CA1 Oriens/Alveus,CA1 Interneuron Specific O-R
CA1 Oriens/Alveus,CA1 Interneuron Specific O-Targeting QuadD
CA1 Oriens/Alveus,CA1 Interneuron Specific R-O
CA1 Oriens/Alveus,CA1 Interneuron Specific RO-O
CA1 Oriens/Alveus,CA1 Ivy
CA1 Oriens/Alveus,CA1 O-LM
CA1 Oriens/Alveus,CA1 Recurrent O-LM
CA1 Oriens/Alveus,CA1 O-LMR
CA1 Oriens/Alveus,CA1 Oriens/Alveus
CA1 Oriens/Alveus,CA1 Oriens-Bistratified
CA1 Oriens/Alveus,CA1 Oriens-Bistratified Projecting
CA1 Oriens/Alveus,CA1 OR-LM
CA1 Oriens/Alveus,CA1 Perforant Path-Associated QuadD
CA1 Oriens/Alveus,CA1 Quadrilaminar
CA1 Oriens/Alveus,Schaffer Collateral-Receiving R-Targeting
CA1 Oriens/Alveus,CA1 SO-SO
CA1 Oriens/Alveus,CA1 Hippocampo-subicular Projecting ENK+
CA1 Oriens/Alveus,CA1 Trilaminar
CA1 Oriens/Alveus,CA1 Radial Trilaminar
CA1 Oriens-Bistratified,CA1 Pyramidal
CA1 Oriens-Bistratified,CA1 Radiatum Giant
CA1 Oriens-Bistratified,CA1 Axo-axonic
CA1 Oriens-Bistratified,CA1 Horizontal Axo-axonic
CA1 Oriens-Bistratified,CA1 Back-Projection
CA1 Oriens-Bistratified,CA1 Basket
CA1 Oriens-Bistratified,CA1 Basket CCK+
CA1 Oriens-Bistratified,CA1 Horizontal Basket
CA1 Oriens-Bistratified,CA1 Bistratified
CA1 Oriens-Bistratified,CA1 Interneuron Specific LMO-O
CA1 Oriens-Bistratified,CA1 Interneuron Specific LMR-R
CA1 Oriens-Bistratified,CA1 Interneuron Specific O-R
CA1 Oriens-Bistratified,CA1 Interneuron Specific O-Targeting QuadD
CA1 Oriens-Bistratified,CA1 Interneuron Specific R-O
CA1 Oriens-Bistratified,CA1 Interneuron Specific RO-O
CA1 Oriens-Bistratified,CA1 Ivy
CA1 Oriens-Bistratified,CA1 LMR
CA1 Oriens-Bistratified,CA1 LMR Projecting
CA1 Oriens-Bistratified,CA1 O-LM
CA1 Oriens-Bistratified,CA1 Recurrent O-LM
CA1 Oriens-Bistratified,CA1 O-LMR
CA1 Oriens-Bistratified,CA1 Oriens/Alveus
CA1 Oriens-Bistratified,CA1 Oriens-Bistratified
CA1 Oriens-Bistratified,CA1 Oriens-Bistratified Projecting
CA1 Oriens-Bistratified,CA1 OR-LM
CA1 Oriens-Bistratified,CA1 Perforant Path-Associated
CA1 Oriens-Bistratified,CA1 Perforant Path-Associated QuadD
CA1 Oriens-Bistratified,CA1 Quadrilaminar
CA1 Oriens-Bistratified,CA1 Radiatum
CA1 Oriens-Bistratified,CA1 R-Receiving Apical-Targeting
CA1 Oriens-Bistratified,Schaffer Collateral-Associated
CA1 Oriens-Bistratified,Schaffer Collateral-Receiving R-Targeting
CA1 Oriens-Bistratified,CA1 SO-SO
CA1 Oriens-Bistratified,CA1 Hippocampo-subicular Projecting ENK+
CA1 Oriens-Bistratified,CA1 Trilaminar
CA1 Oriens-Bistratified,CA1 Radial Trilaminar
CA1 Oriens-Bistratified Projecting,CA2 Wide-Arbor Basket
CA1 Oriens-Bistratified Projecting,CA1 Pyramidal
CA1 Oriens-Bistratified Projecting,Cajal-Retzius
CA1 Oriens-Bistratified Projecting,CA1 Radiatum Giant
CA1 Oriens-Bistratified Projecting,CA1 Axo-axonic
CA1 Oriens-Bistratified Projecting,CA1 Horizontal Axo-axonic
CA1 Oriens-Bistratified Projecting,CA1 Back-Projection
CA1 Oriens-Bistratified Projecting,CA1 Basket
CA1 Oriens-Bistratified Projecting,CA1 Basket CCK+
CA1 Oriens-Bistratified Projecting,CA1 Horizontal Basket
CA1 Oriens-Bistratified Projecting,CA1 Bistratified
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific LMO-O
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific LM-R
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific LMR-R
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific O-R
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific O-Targeting QuadD
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific R-O
CA1 Oriens-Bistratified Projecting,CA1 Interneuron Specific RO-O
CA1 Oriens-Bistratified Projecting,CA1 Ivy
CA1 Oriens-Bistratified Projecting,CA1 LMR
CA1 Oriens-Bistratified Projecting,CA1 LMR Projecting
CA1 Oriens-Bistratified Projecting,CA1 Neurogliaform
CA1 Oriens-Bistratified Projecting,CA1 Neurogliaform Projecting
CA1 Oriens-Bistratified Projecting,CA1 O-LM
CA1 Oriens-Bistratified Projecting,CA1 Recurrent O-LM
CA1 Oriens-Bistratified Projecting,CA1 O-LMR
CA1 Oriens-Bistratified Projecting,CA1 Oriens/Alveus
CA1 Oriens-Bistratified Projecting,CA1 Oriens-Bistratified
CA1 Oriens-Bistratified Projecting,CA1 Oriens-Bistratified Projecting
CA1 Oriens-Bistratified Projecting,CA1 OR-LM
CA1 Oriens-Bistratified Projecting,CA1 Perforant Path-Associated
CA1 Oriens-Bistratified Projecting,CA1 Perforant Path-Associated QuadD
CA1 Oriens-Bistratified Projecting,CA1 Quadrilaminar
CA1 Oriens-Bistratified Projecting,CA1 Radiatum
CA1 Oriens-Bistratified Projecting,CA1 R-Receiving Apical-Targeting
CA1 Oriens-Bistratified Projecting,Schaffer Collateral-Associated
CA1 Oriens-Bistratified Projecting,Schaffer Collateral-Receiving R-Targeting
CA1 Oriens-Bistratified Projecting,CA1 SO-SO
CA1 Oriens-Bistratified Projecting,CA1 Hippocampo-subicular Projecting ENK+
CA1 Oriens-Bistratified Projecting,CA1 Trilaminar
CA1 Oriens-Bistratified Projecting,CA1 Radial Trilaminar
CA1 Oriens-Bistratified Projecting,SUB EC-Projecting Pyramidal
CA1 Oriens-Bistratified Projecting,SUB CA1-Projecting Pyramidal
CA1 Oriens-Bistratified Projecting,SUB Axo-axonic
CA1 OR-LM,CA1 Pyramidal
CA1 OR-LM,Cajal-Retzius
CA1 OR-LM,CA1 Radiatum Giant
CA1 OR-LM,CA1 Axo-axonic
CA1 OR-LM,CA1 Basket
CA1 OR-LM,CA1 Basket CCK+
CA1 OR-LM,CA1 Interneuron Specific LMO-O
CA1 OR-LM,CA1 Interneuron Specific LM-R
CA1 OR-LM,CA1 Interneuron Specific LMR-R
CA1 OR-LM,CA1 Interneuron Specific O-Targeting QuadD
CA1 OR-LM,CA1 LMR
CA1 OR-LM,CA1 LMR Projecting
CA1 OR-LM,CA1 Neurogliaform
CA1 OR-LM,CA1 Neurogliaform Projecting
CA1 OR-LM,CA1 Oriens/Alveus
CA1 OR-LM,CA1 Perforant Path-Associated
CA1 OR-LM,CA1 Perforant Path-Associated QuadD
CA1 OR-LM,CA1 Quadrilaminar
CA1 OR-LM,Schaffer Collateral-Associated
CA1 OR-LM,CA1 Radial Trilaminar
CA1 Perforant Path-Associated,Granule
CA1 Perforant Path-Associated,Hilar Ectopic Granule
CA1 Perforant Path-Associated,Semilunar Granule
CA1 Perforant Path-Associated,Mossy MOLDEN
CA1 Perforant Path-Associated,AIPRIM
CA1 Perforant Path-Associated,DG Axo-axonic
CA1 Perforant Path-Associated,DG Basket
CA1 Perforant Path-Associated,DG Basket CCK+
CA1 Perforant Path-Associated,HICAP
CA1 Perforant Path-Associated,MOLAX
CA1 Perforant Path-Associated,MOPP
CA1 Perforant Path-Associated,DG Neurogliaform
CA1 Perforant Path-Associated,Outer Molecular Layer
CA1 Perforant Path-Associated,Total Molecular Layer
CA1 Perforant Path-Associated,CA1 Pyramidal
CA1 Perforant Path-Associated,Cajal-Retzius
CA1 Perforant Path-Associated,CA1 Radiatum Giant
CA1 Perforant Path-Associated,CA1 Axo-axonic
CA1 Perforant Path-Associated,CA1 Basket
CA1 Perforant Path-Associated,CA1 Basket CCK+
CA1 Perforant Path-Associated,CA1 Interneuron Specific LMO-O
CA1 Perforant Path-Associated,CA1 Interneuron Specific LM-R
CA1 Perforant Path-Associated,CA1 Interneuron Specific LMR-R
CA1 Perforant Path-Associated,CA1 Interneuron Specific O-Targeting QuadD
CA1 Perforant Path-Associated,CA1 LMR
CA1 Perforant Path-Associated,CA1 LMR Projecting
CA1 Perforant Path-Associated,CA1 Neurogliaform
CA1 Perforant Path-Associated,CA1 Neurogliaform Projecting
CA1 Perforant Path-Associated,CA1 Oriens/Alveus
CA1 Perforant Path-Associated,CA1 Perforant Path-Associated
CA1 Perforant Path-Associated,CA1 Perforant Path-Associated QuadD
CA1 Perforant Path-Associated,CA1 Quadrilaminar
CA1 Perforant Path-Associated,Schaffer Collateral-Associated
CA1 Perforant Path-Associated,CA1 Radial Trilaminar
CA1 Perforant Path-Associated,SUB EC-Projecting Pyramidal
CA1 Perforant Path-Associated,SUB CA1-Projecting Pyramidal
CA1 Perforant Path-Associated,SUB Axo-axonic
CA1 Perforant Path-Associated QuadD,CA1 Pyramidal
CA1 Perforant Path-Associated QuadD,Cajal-Retzius
CA1 Perforant Path-Associated QuadD,CA1 Radiatum Giant
CA1 Perforant Path-Associated QuadD,CA1 Axo-axonic
CA1 Perforant Path-Associated QuadD,CA1 Basket
CA1 Perforant Path-Associated QuadD,CA1 Basket CCK+
CA1 Perforant Path-Associated QuadD,CA1 Interneuron Specific LMO-O
CA1 Perforant Path-Associated QuadD,CA1 Interneuron Specific LM-R
CA1 Perforant Path-Associated QuadD,CA1 Interneuron Specific LMR-R
CA1 Perforant Path-Associated QuadD,CA1 Interneuron Specific O-Targeting QuadD
CA1 Perforant Path-Associated QuadD,CA1 LMR
CA1 Perforant Path-Associated QuadD,CA1 LMR Projecting
CA1 Perforant Path-Associated QuadD,CA1 Neurogliaform
CA1 Perforant Path-Associated QuadD,CA1 Neurogliaform Projecting
CA1 Perforant Path-Associated QuadD,CA1 Oriens/Alveus
CA1 Perforant Path-Associated QuadD,CA1 Perforant Path-Associated
CA1 Perforant Path-Associated QuadD,CA1 Perforant Path-Associated QuadD
CA1 Perforant Path-Associated QuadD,CA1 Quadrilaminar
CA1 Perforant Path-Associated QuadD,Schaffer Collateral-Associated
CA1 Perforant Path-Associated QuadD,CA1 Radial Trilaminar
CA1 Quadrilaminar,CA2 Wide-Arbor Basket
CA1 Quadrilaminar,CA1 Pyramidal
CA1 Quadrilaminar,Cajal-Retzius
CA1 Quadrilaminar,CA1 Radiatum Giant
CA1 Quadrilaminar,CA1 Axo-axonic
CA1 Quadrilaminar,CA1 Horizontal Axo-axonic
CA1 Quadrilaminar,CA1 Back-Projection
CA1 Quadrilaminar,CA1 Basket
CA1 Quadrilaminar,CA1 Basket CCK+
CA1 Quadrilaminar,CA1 Horizontal Basket
CA1 Quadrilaminar,CA1 Bistratified
CA1 Quadrilaminar,CA1 Interneuron Specific LMO-O
CA1 Quadrilaminar,CA1 Interneuron Specific LM-R
CA1 Quadrilaminar,CA1 Interneuron Specific LMR-R
CA1 Quadrilaminar,CA1 Interneuron Specific O-R
CA1 Quadrilaminar,CA1 Interneuron Specific O-Targeting QuadD
CA1 Quadrilaminar,CA1 Interneuron Specific R-O
CA1 Quadrilaminar,CA1 Interneuron Specific RO-O
CA1 Quadrilaminar,CA1 Ivy
CA1 Quadrilaminar,CA1 LMR
CA1 Quadrilaminar,CA1 LMR Projecting
CA1 Quadrilaminar,CA1 Neurogliaform
CA1 Quadrilaminar,CA1 Neurogliaform Projecting
CA1 Quadrilaminar,CA1 O-LM
CA1 Quadrilaminar,CA1 Recurrent O-LM
CA1 Quadrilaminar,CA1 O-LMR
CA1 Quadrilaminar,CA1 Oriens/Alveus
CA1 Quadrilaminar,CA1 Oriens-Bistratified
CA1 Quadrilaminar,CA1 Oriens-Bistratified Projecting
CA1 Quadrilaminar,CA1 OR-LM
CA1 Quadrilaminar,CA1 Perforant Path-Associated
CA1 Quadrilaminar,CA1 Perforant Path-Associated QuadD
CA1 Quadrilaminar,CA1 Quadrilaminar
CA1 Quadrilaminar,CA1 Radiatum
CA1 Quadrilaminar,CA1 R-Receiving Apical-Targeting
CA1 Quadrilaminar,Schaffer Collateral-Associated
CA1 Quadrilaminar,Schaffer Collateral-Receiving R-Targeting
CA1 Quadrilaminar,CA1 SO-SO
CA1 Quadrilaminar,CA1 Hippocampo-subicular Projecting ENK+
CA1 Quadrilaminar,CA1 Trilaminar
CA1 Quadrilaminar,CA1 Radial Trilaminar
CA1 Radiatum,CA1 Pyramidal
CA1 Radiatum,CA1 Radiatum Giant
CA1 Radiatum,CA1 Axo-axonic
CA1 Radiatum,CA1 Basket
CA1 Radiatum,CA1 Basket CCK+
CA1 Radiatum,CA1 Bistratified
CA1 Radiatum,CA1 Interneuron Specific LMR-R
CA1 Radiatum,CA1 Interneuron Specific O-Targeting QuadD
CA1 Radiatum,CA1 Interneuron Specific R-O
CA1 Radiatum,CA1 Interneuron Specific RO-O
CA1 Radiatum,CA1 Ivy
CA1 Radiatum,CA1 LMR
CA1 Radiatum,CA1 LMR Projecting
CA1 Radiatum,CA1 Oriens/Alveus
CA1 Radiatum,CA1 OR-LM
CA1 Radiatum,CA1 Perforant Path-Associated
CA1 Radiatum,CA1 Perforant Path-Associated QuadD
CA1 Radiatum,CA1 Quadrilaminar
CA1 Radiatum,CA1 Radiatum
CA1 Radiatum,CA1 R-Receiving Apical-Targeting
CA1 Radiatum,Schaffer Collateral-Associated
CA1 Radiatum,Schaffer Collateral-Receiving R-Targeting
CA1 Radiatum,CA1 Hippocampo-subicular Projecting ENK+
CA1 Radiatum,CA1 Radial Trilaminar
CA1 R-Receiving Apical-Targeting,CA1 Pyramidal
CA1 R-Receiving Apical-Targeting,Cajal-Retzius
CA1 R-Receiving Apical-Targeting,CA1 Radiatum Giant
CA1 R-Receiving Apical-Targeting,CA1 Axo-axonic
CA1 R-Receiving Apical-Targeting,CA1 Basket
CA1 R-Receiving Apical-Targeting,CA1 Basket CCK+
CA1 R-Receiving Apical-Targeting,CA1 Bistratified
CA1 R-Receiving Apical-Targeting,CA1 Interneuron Specific LMO-O
CA1 R-Receiving Apical-Targeting,CA1 Interneuron Specific LM-R
CA1 R-Receiving Apical-Targeting,CA1 Interneuron Specific LMR-R
CA1 R-Receiving Apical-Targeting,CA1 Interneuron Specific O-Targeting QuadD
CA1 R-Receiving Apical-Targeting,CA1 Interneuron Specific R-O
CA1 R-Receiving Apical-Targeting,CA1 Interneuron Specific RO-O
CA1 R-Receiving Apical-Targeting,CA1 Ivy
CA1 R-Receiving Apical-Targeting,CA1 LMR
CA1 R-Receiving Apical-Targeting,CA1 LMR Projecting
CA1 R-Receiving Apical-Targeting,CA1 Neurogliaform
CA1 R-Receiving Apical-Targeting,CA1 Neurogliaform Projecting
CA1 R-Receiving Apical-Targeting,CA1 Oriens/Alveus
CA1 R-Receiving Apical-Targeting,CA1 OR-LM
CA1 R-Receiving Apical-Targeting,CA1 Perforant Path-Associated
CA1 R-Receiving Apical-Targeting,CA1 Perforant Path-Associated QuadD
CA1 R-Receiving Apical-Targeting,CA1 Quadrilaminar
CA1 R-Receiving Apical-Targeting,CA1 Radiatum
CA1 R-Receiving Apical-Targeting,CA1 R-Receiving Apical-Targeting
CA1 R-Receiving Apical-Targeting,Schaffer Collateral-Associated
CA1 R-Receiving Apical-Targeting,Schaffer Collateral-Receiving R-Targeting
CA1 R-Receiving Apical-Targeting,CA1 Hippocampo-subicular Projecting ENK+
CA1 R-Receiving Apical-Targeting,CA1 Radial Trilaminar
Schaffer Collateral-Associated,CA2 Wide-Arbor Basket
Schaffer Collateral-Associated,CA1 Pyramidal
Schaffer Collateral-Associated,CA1 Radiatum Giant
Schaffer Collateral-Associated,CA1 Axo-axonic
Schaffer Collateral-Associated,CA1 Horizontal Axo-axonic
Schaffer Collateral-Associated,CA1 Back-Projection
Schaffer Collateral-Associated,CA1 Basket
Schaffer Collateral-Associated,CA1 Basket CCK+
Schaffer Collateral-Associated,CA1 Horizontal Basket
Schaffer Collateral-Associated,CA1 Bistratified
Schaffer Collateral-Associated,CA1 Interneuron Specific LMO-O
Schaffer Collateral-Associated,CA1 Interneuron Specific LMR-R
Schaffer Collateral-Associated,CA1 Interneuron Specific O-R
Schaffer Collateral-Associated,CA1 Interneuron Specific O-Targeting QuadD
Schaffer Collateral-Associated,CA1 Interneuron Specific R-O
Schaffer Collateral-Associated,CA1 Interneuron Specific RO-O
Schaffer Collateral-Associated,CA1 Ivy
Schaffer Collateral-Associated,CA1 LMR
Schaffer Collateral-Associated,CA1 LMR Projecting
Schaffer Collateral-Associated,CA1 O-LM
Schaffer Collateral-Associated,CA1 Recurrent O-LM
Schaffer Collateral-Associated,CA1 O-LMR
Schaffer Collateral-Associated,CA1 Oriens/Alveus
Schaffer Collateral-Associated,CA1 Oriens-Bistratified
Schaffer Collateral-Associated,CA1 Oriens-Bistratified Projecting
Schaffer Collateral-Associated,CA1 OR-LM
Schaffer Collateral-Associated,CA1 Perforant Path-Associated
Schaffer Collateral-Associated,CA1 Perforant Path-Associated QuadD
Schaffer Collateral-Associated,CA1 Quadrilaminar
Schaffer Collateral-Associated,CA1 Radiatum
Schaffer Collateral-Associated,CA1 R-Receiving Apical-Targeting
Schaffer Collateral-Associated,Schaffer Collateral-Associated
Schaffer Collateral-Associated,Schaffer Collateral-Receiving R-Targeting
Schaffer Collateral-Associated,CA1 SO-SO
Schaffer Collateral-Associated,CA1 Hippocampo-subicular Projecting ENK+
Schaffer Collateral-Associated,CA1 Trilaminar
Schaffer Collateral-Associated,CA1 Radial Trilaminar
Schaffer Collateral-Receiving R-Targeting,CA1 Pyramidal
Schaffer Collateral-Receiving R-Targeting,CA1 Radiatum Giant
Schaffer Collateral-Receiving R-Targeting,CA1 Axo-axonic
Schaffer Collateral-Receiving R-Targeting,CA1 Basket
Schaffer Collateral-Receiving R-Targeting,CA1 Basket CCK+
Schaffer Collateral-Receiving R-Targeting,CA1 Bistratified
Schaffer Collateral-Receiving R-Targeting,CA1 Interneuron Specific LMR-R
Schaffer Collateral-Receiving R-Targeting,CA1 Interneuron Specific O-Targeting QuadD
Schaffer Collateral-Receiving R-Targeting,CA1 Interneuron Specific R-O
Schaffer Collateral-Receiving R-Targeting,CA1 Interneuron Specific RO-O
Schaffer Collateral-Receiving R-Targeting,CA1 Ivy
Schaffer Collateral-Receiving R-Targeting,CA1 LMR
Schaffer Collateral-Receiving R-Targeting,CA1 LMR Projecting
Schaffer Collateral-Receiving R-Targeting,CA1 Oriens/Alveus
Schaffer Collateral-Receiving R-Targeting,CA1 OR-LM
Schaffer Collateral-Receiving R-Targeting,CA1 Perforant Path-Associated
Schaffer Collateral-Receiving R-Targeting,CA1 Perforant Path-Associated QuadD
Schaffer Collateral-Receiving R-Targeting,CA1 Quadrilaminar
Schaffer Collateral-Receiving R-Targeting,CA1 Radiatum
Schaffer Collateral-Receiving R-Targeting,CA1 R-Receiving Apical-Targeting
Schaffer Collateral-Receiving R-Targeting,Schaffer Collateral-Associated
Schaffer Collateral-Receiving R-Targeting,Schaffer Collateral-Receiving R-Targeting
Schaffer Collateral-Receiving R-Targeting,CA1 Hippocampo-subicular Projecting ENK+
Schaffer Collateral-Receiving R-Targeting,CA1 Radial Trilaminar
CA1 SO-SO,CA1 Pyramidal
CA1 SO-SO,CA1 Axo-axonic
CA1 SO-SO,CA1 Horizontal Axo-axonic
CA1 SO-SO,CA1 Back-Projection
CA1 SO-SO,CA1 Basket
CA1 SO-SO,CA1 Basket CCK+
CA1 SO-SO,CA1 Horizontal Basket
CA1 SO-SO,CA1 Bistratified
CA1 SO-SO,CA1 Interneuron Specific LMO-O
CA1 SO-SO,CA1 Interneuron Specific O-R
CA1 SO-SO,CA1 Interneuron Specific O-Targeting QuadD
CA1 SO-SO,CA1 Interneuron Specific RO-O
CA1 SO-SO,CA1 Ivy
CA1 SO-SO,CA1 O-LM
CA1 SO-SO,CA1 Recurrent O-LM
CA1 SO-SO,CA1 O-LMR
CA1 SO-SO,CA1 Oriens/Alveus
CA1 SO-SO,CA1 Oriens-Bistratified
CA1 SO-SO,CA1 Oriens-Bistratified Projecting
CA1 SO-SO,CA1 OR-LM
CA1 SO-SO,CA1 Perforant Path-Associated QuadD
CA1 SO-SO,CA1 Quadrilaminar
CA1 SO-SO,Schaffer Collateral-Receiving R-Targeting
CA1 SO-SO,CA1 SO-SO
CA1 SO-SO,CA1 Hippocampo-subicular Projecting ENK+
CA1 SO-SO,CA1 Trilaminar
CA1 SO-SO,CA1 Radial Trilaminar
CA1 Hippocampo-subicular Projecting ENK+,CA2 Wide-Arbor Basket
CA1 Hippocampo-subicular Projecting ENK+,CA1 Pyramidal
CA1 Hippocampo-subicular Projecting ENK+,CA1 Radiatum Giant
CA1 Hippocampo-subicular Projecting ENK+,CA1 Axo-axonic
CA1 Hippocampo-subicular Projecting ENK+,CA1 Horizontal Axo-axonic
CA1 Hippocampo-subicular Projecting ENK+,CA1 Back-Projection
CA1 Hippocampo-subicular Projecting ENK+,CA1 Basket
CA1 Hippocampo-subicular Projecting ENK+,CA1 Basket CCK+
CA1 Hippocampo-subicular Projecting ENK+,CA1 Horizontal Basket
CA1 Hippocampo-subicular Projecting ENK+,CA1 Bistratified
CA1 Hippocampo-subicular Projecting ENK+,CA1 Interneuron Specific LMO-O
CA1 Hippocampo-subicular Projecting ENK+,CA1 Interneuron Specific LMR-R
CA1 Hippocampo-subicular Projecting ENK+,CA1 Interneuron Specific O-R
CA1 Hippocampo-subicular Projecting ENK+,CA1 Interneuron Specific O-Targeting QuadD
CA1 Hippocampo-subicular Projecting ENK+,CA1 Interneuron Specific R-O
CA1 Hippocampo-subicular Projecting ENK+,CA1 Interneuron Specific RO-O
CA1 Hippocampo-subicular Projecting ENK+,CA1 Ivy
CA1 Hippocampo-subicular Projecting ENK+,CA1 LMR
CA1 Hippocampo-subicular Projecting ENK+,CA1 LMR Projecting
CA1 Hippocampo-subicular Projecting ENK+,CA1 O-LM
CA1 Hippocampo-subicular Projecting ENK+,CA1 Recurrent O-LM
CA1 Hippocampo-subicular Projecting ENK+,CA1 O-LMR
CA1 Hippocampo-subicular Projecting ENK+,CA1 Oriens/Alveus
CA1 Hippocampo-subicular Projecting ENK+,CA1 Oriens-Bistratified
CA1 Hippocampo-subicular Projecting ENK+,CA1 Oriens-Bistratified Projecting
CA1 Hippocampo-subicular Projecting ENK+,CA1 OR-LM
CA1 Hippocampo-subicular Projecting ENK+,CA1 Perforant Path-Associated
CA1 Hippocampo-subicular Projecting ENK+,CA1 Perforant Path-Associated QuadD
CA1 Hippocampo-subicular Projecting ENK+,CA1 Quadrilaminar
CA1 Hippocampo-subicular Projecting ENK+,CA1 Radiatum
CA1 Hippocampo-subicular Projecting ENK+,CA1 R-Receiving Apical-Targeting
CA1 Hippocampo-subicular Projecting ENK+,Schaffer Collateral-Associated
CA1 Hippocampo-subicular Projecting ENK+,Schaffer Collateral-Receiving R-Targeting
CA1 Hippocampo-subicular Projecting ENK+,CA1 SO-SO
CA1 Hippocampo-subicular Projecting ENK+,CA1 Hippocampo-subicular Projecting ENK+
CA1 Hippocampo-subicular Projecting ENK+,CA1 Trilaminar
CA1 Hippocampo-subicular Projecting ENK+,CA1 Radial Trilaminar
CA1 Trilaminar,CA2 Wide-Arbor Basket
CA1 Trilaminar,CA1 Pyramidal
CA1 Trilaminar,CA1 Radiatum Giant
CA1 Trilaminar,CA1 Axo-axonic
CA1 Trilaminar,CA1 Horizontal Axo-axonic
CA1 Trilaminar,CA1 Back-Projection
CA1 Trilaminar,CA1 Basket
CA1 Trilaminar,CA1 Basket CCK+
CA1 Trilaminar,CA1 Horizontal Basket
CA1 Trilaminar,CA1 Bistratified
CA1 Trilaminar,CA1 Interneuron Specific LMO-O
CA1 Trilaminar,CA1 Interneuron Specific LMR-R
CA1 Trilaminar,CA1 Interneuron Specific O-R
CA1 Trilaminar,CA1 Interneuron Specific O-Targeting QuadD
CA1 Trilaminar,CA1 Interneuron Specific R-O
CA1 Trilaminar,CA1 Interneuron Specific RO-O
CA1 Trilaminar,CA1 Ivy
CA1 Trilaminar,CA1 LMR
CA1 Trilaminar,CA1 LMR Projecting
CA1 Trilaminar,CA1 O-LM
CA1 Trilaminar,CA1 Recurrent O-LM
CA1 Trilaminar,CA1 O-LMR
CA1 Trilaminar,CA1 Oriens/Alveus
CA1 Trilaminar,CA1 Oriens-Bistratified
CA1 Trilaminar,CA1 Oriens-Bistratified Projecting
CA1 Trilaminar,CA1 OR-LM
CA1 Trilaminar,CA1 Perforant Path-Associated
CA1 Trilaminar,CA1 Perforant Path-Associated QuadD
CA1 Trilaminar,CA1 Quadrilaminar
CA1 Trilaminar,CA1 Radiatum
CA1 Trilaminar,CA1 R-Receiving Apical-Targeting
CA1 Trilaminar,Schaffer Collateral-Associated
CA1 Trilaminar,Schaffer Collateral-Receiving R-Targeting
CA1 Trilaminar,CA1 SO-SO
CA1 Trilaminar,CA1 Hippocampo-subicular Projecting ENK+
CA1 Trilaminar,CA1 Trilaminar
CA1 Trilaminar,CA1 Radial Trilaminar
CA1 Trilaminar,SUB EC-Projecting Pyramidal
CA1 Trilaminar,SUB CA1-Projecting Pyramidal
CA1 Trilaminar,SUB Axo-axonic
CA1 Radial Trilaminar,CA2 Wide-Arbor Basket
CA1 Radial Trilaminar,CA1 Pyramidal
CA1 Radial Trilaminar,CA1 Radiatum Giant
CA1 Radial Trilaminar,CA1 Axo-axonic
CA1 Radial Trilaminar,CA1 Horizontal Axo-axonic
CA1 Radial Trilaminar,CA1 Back-Projection
CA1 Radial Trilaminar,CA1 Basket
CA1 Radial Trilaminar,CA1 Basket CCK+
CA1 Radial Trilaminar,CA1 Horizontal Basket
CA1 Radial Trilaminar,CA1 Bistratified
CA1 Radial Trilaminar,CA1 Interneuron Specific LMO-O
CA1 Radial Trilaminar,CA1 Interneuron Specific LMR-R
CA1 Radial Trilaminar,CA1 Interneuron Specific O-R
CA1 Radial Trilaminar,CA1 Interneuron Specific O-Targeting QuadD
CA1 Radial Trilaminar,CA1 Interneuron Specific R-O
CA1 Radial Trilaminar,CA1 Interneuron Specific RO-O
CA1 Radial Trilaminar,CA1 Ivy
CA1 Radial Trilaminar,CA1 LMR
CA1 Radial Trilaminar,CA1 LMR Projecting
CA1 Radial Trilaminar,CA1 O-LM
CA1 Radial Trilaminar,CA1 Recurrent O-LM
CA1 Radial Trilaminar,CA1 O-LMR
CA1 Radial Trilaminar,CA1 Oriens/Alveus
CA1 Radial Trilaminar,CA1 Oriens-Bistratified
CA1 Radial Trilaminar,CA1 Oriens-Bistratified Projecting
CA1 Radial Trilaminar,CA1 OR-LM
CA1 Radial Trilaminar,CA1 Perforant Path-Associated
CA1 Radial Trilaminar,CA1 Perforant Path-Associated QuadD
CA1 Radial Trilaminar,CA1 Quadrilaminar
CA1 Radial Trilaminar,CA1 Radiatum
CA1 Radial Trilaminar,CA1 R-Receiving Apical-Targeting
CA1 Radial Trilaminar,Schaffer Collateral-Associated
CA1 Radial Trilaminar,Schaffer Collateral-Receiving R-Targeting
CA1 Radial Trilaminar,CA1 SO-SO
CA1 Radial Trilaminar,CA1 Hippocampo-subicular Projecting ENK+
CA1 Radial Trilaminar,CA1 Trilaminar
CA1 Radial Trilaminar,CA1 Radial Trilaminar
