id,source_id,target_id,reference_id,frag_id,evi_id
511,6092,4078,2000069,30550,30551
512,6085,1000,1002721,30175,30176
513,6085,1000,1001811,30126,30127
514,6085,1000,1001933,30133,30134
515,6085,1000,1002624,30165,30166
516,6085,1000,1002718,30170,30171
517,6053,6003,1007170,30381,30382
518,6053,6003,2000048,30517,30518
519,6053,6005,1007170,30381,30382
520,6053,6082,1007170,30381,30382
521,6053,6096,2000048,30517,30518
522,6053,6096,2000049,30518,30519
