evidence_ID,property_ID,source_id,target_id,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
30197,NULL,2000,2000,1003060,30196,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30311,NULL,2000,2000,1006002,30310,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30313,NULL,2000,2000,1006006,30312,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30314,NULL,2000,2000,1006008,30313,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30544,NULL,2000,2028,2000066,30543,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30545,NULL,2000,2028,2000067,30544,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30310,NULL,2000,2043,1006000,30309,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30544,NULL,2000,2043,2000066,30543,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30545,NULL,2000,2043,2000067,30544,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30546,NULL,2000,2043,2000068,30545,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30551,NULL,2000,2043,2000069,30550,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30244,NULL,2000,2046,1003690,30243,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30253,NULL,2000,2035,1003756,30252,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30254,NULL,2000,2035,1003762,30253,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30002,NULL,2000,4036,1000003,30001,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30002,NULL,2000,4078,1000003,30001,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30546,NULL,2000,4078,2000068,30545,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30551,NULL,2000,4078,2000069,30550,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30002,NULL,2000,4079,1000003,30001,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30002,NULL,2000,4069,1000003,30001,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30158,NULL,2000,4000,1002400,30157,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30002,NULL,2000,4000,1000003,30001,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30007,NULL,2000,4000,1000012,30006,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30151,NULL,2000,4000,1002038,30150,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30152,NULL,2000,4000,1002044,30151,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30187,NULL,2000,4000,1003015,30186,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30190,NULL,2000,4000,1003021,30189,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30266,NULL,2000,4000,1004009,30265,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30312,NULL,2000,4000,1006004,30311,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30002,NULL,2000,4055,1000003,30001,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30083,NULL,2004,2004,1000762,30082,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30201,NULL,2004,1002,1003102,30200,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30161,NULL,2004,1002,1002430,30160,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30226,NULL,2004,1002,1003639,30225,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30080,NULL,2004,1002,1000720,30079,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
