"evidence_ID","neurite_ID","type_ID","original_id","fragment_id","Article_id","priority","conflict_note","unvetted","linking_quote","interpretation_notes","property_type_explanation","pc_flag","soma_pcl_flag","ax_de_pcl_flag","perisomatic_targeting_flag","supplemental_pmids"
126,0,2028,0,126,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
127,0,2028,0,127,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
128,0,2028,0,128,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
129,0,2028,0,129,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
130,0,2028,0,130,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
131,0,2028,0,131,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
132,0,2028,0,132,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
133,0,2028,0,133,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
134,0,2028,0,134,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
135,0,2028,0,135,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
136,0,2028,0,136,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
137,0,2028,0,137,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
138,0,2028,0,138,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
139,0,2043,0,139,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
140,0,2043,0,140,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
141,0,2043,0,141,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
142,0,2043,0,142,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
143,0,2043,0,143,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
144,0,2044,0,144,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
145,0,2044,0,145,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
146,0,2044,0,146,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
147,0,2044,0,147,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
148,0,2044,0,148,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
149,0,2044,0,149,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
150,0,2044,0,150,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
151,0,2044,0,151,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
152,0,2044,0,152,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
153,0,2044,0,153,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
154,0,2044,0,154,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
155,0,2044,0,155,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
156,0,2044,0,156,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
157,0,2049,0,157,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
158,0,2049,0,158,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
159,0,2049,0,159,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
160,0,2049,0,160,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
161,0,3000,0,161,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
162,0,3000,0,162,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
163,0,3000,0,163,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
164,0,3000,0,164,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
165,0,3000,0,165,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
166,0,3000,0,166,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
167,0,3000,0,167,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
168,0,3000,0,168,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
169,0,3000,0,169,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
170,0,3000,0,170,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
171,0,3000,0,171,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
172,0,3000,0,172,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
173,0,3000,0,173,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
174,0,3000,0,174,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
175,0,3000,0,175,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
176,0,3000,0,176,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
177,0,3000,0,177,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
178,0,3000,0,178,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
179,0,3000,0,179,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
180,0,3000,0,180,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
181,0,3000,0,181,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
182,0,3000,0,182,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
183,0,3000,0,183,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
184,0,3000,0,184,0,0,"NULL",1,"NULL","NULL","NULL",1,1,0,0,"NULL"
